mode,corpus_size,row_count,target_correct_rate,wrong_corpus_collision_rate,wrong_jurisdiction_collision_rate,wrong_unit_collision_rate,mismatch_escape_rate,no_evidence_false_allow_rate,ambiguous_false_allow_rate,correct_block_rate,candidate_count_before_mean,candidate_count_after_mean,candidate_reduction_ratio,retrieved_token_count_mean,estimated_token_cost_usd_per_1k_queries,token_reduction_ratio,latency_p50_ms,latency_p95_ms,latency_p99_ms,esi_mean,returned_domain_salt_valid_rate,replay_success_rate,audit_hash_complete_rate,route_determinism_rate,toy_retrieval
BM25_GLOBAL,1000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,22.333,0.00223333,0.0,14.13,14.26,14.26,0.333333,1.0,1.0,1.0,1.0,True
BM25_GLOBAL,5000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5000.0,5000.0,0.0,22.333,0.00223333,0.0,16.926,17.056,17.056,0.333333,1.0,1.0,1.0,1.0,True
BM25_GLOBAL,10000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10000.0,10000.0,0.0,22.333,0.00223333,0.0,18.13,18.26,18.26,0.333333,1.0,1.0,1.0,1.0,True
BM25_GLOBAL,50000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50000.0,50000.0,0.0,22.333,0.00223333,0.0,20.926,21.056,21.056,0.333333,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_BM25,1000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1000.0,0.667,0.999333,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_BM25,5000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,5000.0,0.667,0.999867,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_BM25,10000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,10000.0,0.667,0.999933,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_BM25,50000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,50000.0,0.667,0.999987,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_TFIDF,1000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1000.0,0.667,0.999333,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_TFIDF,5000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,5000.0,0.667,0.999867,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_TFIDF,10000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,10000.0,0.667,0.999933,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
CTHC_PRUNED_TFIDF,50000,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,50000.0,0.667,0.999987,15.333,0.00153333,0.313438,2.57,2.64,2.64,0.666667,1.0,1.0,1.0,1.0,True
TFIDF_GLOBAL,1000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1000.0,1000.0,0.0,22.333,0.00223333,0.0,14.13,14.26,14.26,0.333333,1.0,1.0,1.0,1.0,True
TFIDF_GLOBAL,5000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5000.0,5000.0,0.0,22.333,0.00223333,0.0,16.926,17.056,17.056,0.333333,1.0,1.0,1.0,1.0,True
TFIDF_GLOBAL,10000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10000.0,10000.0,0.0,22.333,0.00223333,0.0,18.13,18.26,18.26,0.333333,1.0,1.0,1.0,1.0,True
TFIDF_GLOBAL,50000,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50000.0,50000.0,0.0,22.333,0.00223333,0.0,20.926,21.056,21.056,0.333333,1.0,1.0,1.0,1.0,True
UNIQUE_ADDRESS,1000,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.333,0.999667,7.333,0.00073333,0.671652,0.38,0.41,0.41,1.0,1.0,1.0,1.0,1.0,True
UNIQUE_ADDRESS,5000,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5000.0,0.333,0.999933,7.333,0.00073333,0.671652,0.38,0.41,0.41,1.0,1.0,1.0,1.0,1.0,True
UNIQUE_ADDRESS,10000,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0,0.333,0.999967,7.333,0.00073333,0.671652,0.38,0.41,0.41,1.0,1.0,1.0,1.0,1.0,True
UNIQUE_ADDRESS,50000,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50000.0,0.333,0.999993,7.333,0.00073333,0.671652,0.38,0.41,0.41,1.0,1.0,1.0,1.0,1.0,True
