query_id,topic,strategy,expected_terms,missing_terms,exact_memory_hit,topic_hit,selected_count,raw_release_count,sensitive_memory_leak_rate,traceability_ok,resolved_count,resolved_memory_ids,inferred_reason
n100000_q0048,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0049,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0050,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0051,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0052,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0053,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0054,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0055,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0056,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0057,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0058,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0059,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0084,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0091,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
n100000_q0098,audit_chain,E_POINTER_ON_DEMAND_RESOLVE,audit chain|traceability,traceability,False,True,5,5,0.0,True,5,n100000_m023676|n100000_m055756|n100000_m099108|n100000_m083908|n100000_m042652,EXPECTED_MEMORY_NOT_SELECTED_BUT_TOPIC_CONTEXT_PRESENT
